time	velocity	number_of_branches
1997.55878352565	473.475070141164	0
1997.654466315	519.837178639671	0
1997.75014910434	605.955817462165	2
1997.84583189369	539.31504172999	5
1997.94151468303	617.717230717017	12
1998.03719747238	677.957719845292	14
1998.13288026172	603.638660236291	16
1998.22856305107	607.634233761781	16
1998.32424584041	564.462726487941	16
1998.41992862976	554.541315270105	16
1998.5156114191	557.585100898437	18
1998.61129420845	521.401395071535	18
1998.70697699779	504.068323760064	18
1998.80265978714	509.474401857197	18
1998.89834257648	451.75625457051	16
1998.99402536583	420.287452555825	14
1999.08970815517	410.48056473882	13.5
1999.18539094452	398.540758453935	13
1999.28107373386	396.196630608777	15
1999.37675652321	425.021459196335	22
1999.47243931255	439.581813998133	27
1999.5681221019	498.57436994613	33
1999.66380489124	569.107905886061	40
1999.75948768059	597.548115789013	42
1999.85517046994	643.133022670159	42
1999.95085325928	627.786329617207	43.5
2000.04653604863	646.816159661142	47.5
2000.14221883797	690.222572314139	52
2000.23790162732	835.816801740935	69
2000.33358441666	1041.03450355156	158
2000.42926720601	1011.30425349434	194
2000.52494999535	983.264163367603	217
2000.6206327847	994.497856661089	318
2000.71631557404	934.573203417149	348.5
2000.81199836339	930.757519341869	358
2000.90768115273	923.243347222485	361
2001.00336394208	924.093115160931	362.5
2001.09904673142	933.985350827448	358
2001.19472952077	945.238866552056	353.5
2001.29041231011	829.031783684663	314
2001.38609509946	802.579939910958	301.5
2001.4817778888	756.563981564816	305
2001.57746067815	715.365492563005	299.5
2001.67314346749	638.504344267821	231.5
2001.76882625684	632.175329788077	219
2001.86450904618	633.121989689128	212.5
2001.96019183553	630.421906518703	215
2002.05587462487	634.502755983323	218
2002.15155741422	622.274932021304	226
2002.24724020356	608.738058533877	265
2002.34292299291	602.797876621977	314.5
2002.43860578225	567.148757489081	300.5
2002.5342885716	544.556335692323	275
2002.62997136094	528.305351920861	256.5
2002.72565415029	518.659836676762	250
2002.82133693963	524.980591806542	250
2002.91701972898	526.37976329804	248
2003.01270251832	510.585245280417	249.5
2003.10838530767	516.796833016454	252
2003.20406809701	521.439484325823	247
2003.29975088636	458.566615387983	158.5
2003.3954336757	434.124110264157	154
2003.49111646505	413.407117088208	164.5
2003.58679925439	272.762430058838	149
2003.68248204374	276.922234327535	149
2003.77816483308	276.137137113461	150
2003.87384762243	275.7192081823	151.5
2003.96953041177	272.850744699046	157
2004.06521320112	260.039475898034	158.5
2004.16089599046	222.905193194574	135.5
2004.25657877981	214.193909233382	118
2004.35226156915	208.711868197794	106
2004.4479443585	194.560264208749	96
2004.54362714784	184.620816775884	86.5
2004.63930993719	237.633296049038	137
2004.73499272654	268.397710713235	151
2004.83067551588	288.171816833151	157.5
2004.92635830523	284.620384982234	154
2005.02204109457	281.084260746371	154.5
2005.11772388392	288.782506940548	145
2005.21340667326	284.357082456235	154
2005.30908946261	293.439835174433	151
2005.40477225195	316.5427236153	151
2005.5004550413	311.239313679619	146
2005.59613783064	291.024807765008	130
2005.69182061999	257.383972427036	110.5
2005.78750340933	234.779127853879	102
2005.88318619868	231.779375681882	102
2005.97886898802	209.092922811292	98.5
2006.07455177737	216.698227729902	89.5
2006.17023456671	203.75741699817	86
2006.26591735606	201.026580808249	76
2006.3616001454	200.121854407665	69.5
2006.45728293475	178.053071070618	68
2006.55296572409	197.954570333736	66.5
2006.64864851344	197.161228802722	68
2006.74433130278	200.080758411639	69
2006.84001409213	218.956262206108	78
2006.93569688147	248.38731599063	88
2007.03137967082	282.337796760343	98
2007.12706246016	315.944155335237	99
2007.22274524951	352.232337257989	94
2007.31842803885	336.953323159445	103
2007.4141108282	333.176520318964	114
2007.50979361754	316.704586826796	113.5
2007.60547640689	326.982366395693	113.5
2007.70115919623	318.818071965313	111
2007.79684198558	320.613280399775	109
2007.89252477492	301.593804430511	98
2007.98820756427	296.144593008742	87.5
2008.08389035361	285.929008880322	79
2008.17957314296	229.511805673943	65
2008.2752559323	222.912608987215	52
2008.37093872165	198.10278368606	40.5
2008.46662151099	176.449911366153	36
2008.56230430034	187.004764764145	34
2008.65798708968	180.495139791584	34
2008.75366987903	185.84087469058	38
2008.84935266837	196.15559096175	42
2008.94503545772	218.434046068049	51.5
2009.04071824706	238.724172422643	49
2009.13640103641	267.467462136176	43
2009.23208382575	285.037538507998	56.5
2009.3277666151	305.318812817759	58
2009.42344940444	311.480918723723	63
2009.51913219379	317.584540407603	65
2009.61481498314	344.102504411179	66
2009.71049777248	347.039483914637	67
2009.80618056183	345.583567919494	66
2009.90186335117	349.840628169716	67
2009.99754614052	354.172906906864	73
2010.09322892986	353.527246851512	83
2010.18891171921	365.645610552717	74
2010.28459450855	373.326765631057	75
2010.3802772979	378.607224967849	80
2010.47596008724	359.32302768352	80
2010.57164287659	341.56402474506	86
2010.66732566593	336.966847619219	98
2010.76300845528	330.600664824589	104
2010.85869124462	326.385635291849	105
2010.95437403397	314.94343121528	102.5
2011.05005682331	312.217806740394	99
2011.14573961266	298.377600773909	95
2011.241422402	294.615335385338	87
2011.33710519135	270.963095926	84
2011.43278798069	270.388399384331	77
2011.52847077004	275.100349117441	68
2011.62415355938	228.912705103095	55
2011.71983634873	196.587660694349	40
2011.81551913807	182.833120095689	33
2011.91120192742	187.27540888681	32
2012.00688471676	170.700157782241	40
2012.10256750611	155.315007141401	44
