time	velocity	number_of_branches
1997.50482575808	463.622304300922	0.9
1997.60077901243	524.256574401683	1.86
1997.69673226677	694.028560007691	3.28
1997.79268552112	979.594354984249	5.98
1997.88863877546	1228.84860676556	10.98
1997.98459202981	1117.67604700113	16.05
1998.08054528416	1032.1688322717	19.69
1998.1764985385	955.780546647649	22.54
1998.27245179285	1022.53801347573	24.86
1998.36840504719	984.083635286095	25.76
1998.46435830154	955.859334855196	26.31
1998.56031155588	920.014547002893	26.59
1998.65626481023	872.931360335712	27.7
1998.75221806457	805.299446774686	28.25
1998.84817131892	681.953563029677	27.09
1998.94412457326	468.372367136103	23.32
1999.04007782761	357.574661760498	19.37
1999.13603108196	375.178946101769	17.5
1999.2319843363	256.692577950436	17.84
1999.32793759065	277.337259761462	22.12
1999.42389084499	300.317163017853	26.44
1999.51984409934	417.471733287897	31.58
1999.61579735368	459.717269400648	37.59
1999.71175060803	482.37157685864	41.94
1999.80770386237	488.442096321075	44.93
1999.90365711672	491.346820116035	47.81
1999.99961037106	499.145729534739	50.3
2000.09556362541	513.425063212618	57.11
2000.19151687976	634.456962679477	73.67
2000.2874701341	1071.37671406799	136.4
2000.38342338845	1104.91435519023	192.49
2000.47937664279	1067.31391320926	236.77
2000.57532989714	1018.61850717085	286.89
2000.67128315148	963.946303755359	349.98
2000.76723640583	923.839399671343	369.13
2000.86318966017	915.695905717036	372.76
2000.95914291452	911.529103459154	373.45
2001.05509616886	910.243452735792	372.95
2001.15104942321	896.763274499432	369.69
2001.24700267756	863.213411791664	353.75
2001.3429559319	701.377049884272	315.45
2001.43890918625	652.836075791334	305.33
2001.53486244059	616.14287417492	298.16
2001.63081569494	580.923460355108	246.28
2001.72676894928	572.482867449025	221.46
2001.82272220363	577.05754426288	214.99
2001.91867545797	582.034449801978	213
2002.01462871232	585.661556861548	211.38
2002.11058196666	582.52597067393	212.97
2002.20653522101	555.819780932469	223.14
2002.30248847536	586.776067537444	280.78
2002.3984417297	588.376596025239	278.98
2002.49439498405	584.178451172725	246.78
2002.59034823839	588.243538484363	224.5
2002.68630149274	578.269914738638	209.7
2002.78225474708	581.57766098938	206.93
2002.87820800143	581.649374491603	206.26
2002.97416125577	581.913885304826	205.44
2003.07011451012	584.394257812546	207.19
2003.16606776446	590.674106495916	205.55
2003.26202101881	545.451471039603	164.43
2003.35797427316	473.722844746799	140.55
2003.4539275275	443.268532168382	149.73
2003.54988078185	289.101423581385	134.02
2003.64583403619	287.024404116626	138.27
2003.74178729054	285.563461816823	140.58
2003.83774054488	284.523839637837	140.89
2003.93369379923	280.640927323197	144.1
2004.02964705357	272.063730860712	144
2004.12560030792	226.512057264435	139.03
2004.22155356226	235.508767820158	122.09
2004.31750681661	231.799777451794	102.38
2004.41346007096	225.386787661561	90.17
2004.5094133253	214.107141495221	85.04
2004.60536657965	262.903314469191	103.31
2004.70131983399	258.373429858892	116.21
2004.79727308834	256.874771405481	122.64
2004.89322634268	260.00887899798	121.95
2004.98917959703	251.692854633131	119.35
2005.08513285137	247.246436296273	118.35
2005.18108610572	256.299115356084	110.16
2005.27703936006	252.553767858485	108.28
2005.37299261441	256.540028786934	107.72
2005.46894586876	261.415178445246	105.99
2005.5648991231	262.841260589014	98.29
2005.66085237745	202.597723948316	83.26
2005.75680563179	201.926233181015	77.77
2005.85275888614	218.648043177049	77.4
2005.94871214048	243.108680507158	79.77
2006.04466539483	266.032455804555	77.12
2006.14061864917	321.2133106509	75.61
2006.23657190352	394.175462500419	68.63
2006.33252515786	418.215523031251	64.17
2006.42847841221	429.911170279598	62.01
2006.52443166656	433.276461782173	62.17
2006.6203849209	435.710272605675	62.12
2006.71633817525	441.633147606153	62.54
2006.81229142959	435.019644127623	64.73
2006.90824468394	439.721034540346	73.55
2007.00419793828	434.434252295711	79.93
2007.10015119263	393.557244674201	81.62
2007.19610444697	303.207619638697	72.68
2007.29205770132	304.808923271249	78.83
2007.38801095566	297.19862835522	87.26
2007.48396421001	294.812533458513	91.47
2007.57991746436	281.231993247658	91.13
2007.6758707187	288.482548369172	90.02
2007.77182397305	287.453686478575	86.89
2007.86777722739	279.790524451686	81.68
2007.96373048174	257.395735157584	73.19
2008.05968373608	268.583468841487	67.43
2008.15563699043	210.607056889685	63.37
2008.25159024477	221.27154171212	57.24
2008.34754349912	217.501485013399	48.22
2008.44349675346	211.136856373454	41.16
2008.53945000781	215.423928609648	37.77
2008.63540326216	216.040801129387	36.48
2008.7313565165	217.491895559541	39.85
2008.82730977085	263.709504235056	43.19
2008.92326302519	280.640747685747	49.27
2009.01921627954	319.704641731709	52.3
2009.11516953388	334.714353750084	48.32
2009.21112278823	313.740983714374	59.9
2009.30707604257	345.517473425749	58.77
2009.40302929692	349.516367803724	64.24
2009.49898255126	354.077550367567	69.72
2009.59493580561	367.735990204686	70.07
2009.69088905995	366.608819774169	70.96
2009.7868423143	363.695448391644	71.82
2009.88279556865	347.702792125038	71.96
2009.97874882299	310.429607530268	70.18
2010.07470207734	307.162148066943	70.25
2010.17065533168	335.727572325708	61.11
2010.26660858603	341.194622163799	63.2
2010.36256184037	327.460495529236	65.24
2010.45851509472	315.786971330038	67.6
2010.55446834906	301.958228364483	70.84
2010.65042160341	288.002871973417	77.01
2010.74637485775	271.298265819785	80.49
2010.8423281121	267.001612874032	80.24
2010.93828136645	259.858161674953	79.22
2011.03423462079	250.686580540115	78.61
2011.13018787514	242.631311212175	76.27
2011.22614112948	228.567193474948	70.61
2011.32209438383	205.518997255125	67.01
2011.41804763817	197.934013271982	62.31
2011.51400089252	192.339113663421	56.82
2011.60995414686	180.284806579999	47.11
2011.70590740121	172.21743459892	39.54
2011.80186065555	178.556809184081	36.15
2011.8978139099	184.337975201318	33.23
2011.99376716425	191.289272425085	34.48
2012.08972041859	162.184448608197	39.4
2012.18567367294	158.723502055122	48.34
2012.28162692728	152.045474385416	45.87
2012.37758018163	150.742805968739	43.88
2012.47353343597	148.559934343528	43.05
2012.56948669032	147.760847079161	42.41
2012.66543994466	147.942550468325	41.84
2012.76139319901	148.535186021329	41.47
2012.85734645335	149.22189333366	41.14
2012.9532997077	151.687344259914	40.04
2013.04925296205	148.478141897287	30
2013.14520621639	77.0820755375576	19
2013.24115947074	58.6445196787279	16
2013.33711272508	52.7530430607982	17
2013.43306597943	52.7542655607806	17
2013.52901923377	52.755479640208	17
2013.62497248812	52.7566853031365	17
2013.72092574246	52.7578825534109	17
2013.81687899681	52.7590713950768	17
2013.91283225115	52.760251831977	17
2014.0087855055	55.7231004105709	18
2014.10473875985	61.3923479276571	11
2014.20069201419	55.6168859145573	9
2014.29664526854	47.325971456406	5
2014.39259852288	47.3238461229944	5
2014.48855177723	47.3217142719263	5
2014.58450503157	47.3195758997732	5
2014.68045828592	47.3174310032014	5
2014.77641154026	47.3152795784626	5
2014.87236479461	47.3131216225442	5
2014.96831804895	46.3556643326425	5
2015.0642713033	43.9996064507654	4
2015.16022455765	41.0712343532752	5
2015.25617781199	47.9589163666993	3
2015.35213106634	47.963115366281	3
2015.44808432068	47.9673064955891	3
2015.54403757503	47.9714897612261	3
2015.63999082937	47.9756651698451	3
2015.73594408372	47.979832728101	3
2015.83189733806	47.98399244323	3
2015.92785059241	47.98814430651	3
2016.02380384675	37.0886547500032	2
2016.1197571011	44.8501541107215	1
2016.21571035545	203.301745416099	1
2016.31166360979	203.392146761053	1
2016.40761686414	203.482315056613	1
2016.50357011848	203.57225072107	1
2016.59952337283	203.661954171883	1
